"trialType","block","condition","color","word","rt","response","correct","stim_onset_ms","resp_time_ms"
"stroop_trial","practice","practice","green","lamp",459,"r","false",1778,2237
"stroop_trial","practice","practice","green","chair",640,"g","true",3599,4239
"stroop_trial","practice","practice","green","bottle",353,"r","false",5698,6051
"stroop_trial","practice","practice","red","window",661,"r","true",7683,8344
"stroop_trial","practice","practice","red","table",484,"r","true",9696,10180
"stroop_trial","practice","practice","blue","table",560,"b","true",11780,12340
"stroop_trial","practice","practice","green","door",394,"g","true",13771,14165
"stroop_trial","practice","practice","green","ceiling",NA,"r","false",15707,16155
"stroop_trial","practice","practice","blue","pencil",594,"r","false",17825,18419
"stroop_trial","practice","practice","red","pencil",416,"g","false",19718,20134
"stroop_trial","practice","practice","blue","ceiling",630,"b","true",21587,22217
"stroop_trial","practice","practice","green","pencil",492,"r","false",23609,24101
"stroop_trial","test","negative","blue","grim",627,"g","false",25634,26261
"stroop_trial","test","positive","red","friend",603,"r","true",27777,28380
"stroop_trial","test","positive","blue","smile",738,"r","false",29773,30511
"stroop_trial","test","negative","blue","anger",686,"b","true",31704,32390
"stroop_trial","test","positive","blue","peace",NA,"","",33728,34111
"stroop_trial","test","neutral","blue","ceiling",658,"b","true",35599,36257
"stroop_trial","test","negative","red","bully",508,"r","true",37825,38333
"stroop_trial","test","neutral","green","paper",NA,"","",39808,40478
"stroop_trial","test","positive","blue","love",561,"g","false",41833,42394
"stroop_trial","test","negative","red","suffer",495,"r","true",43643,44138
"stroop_trial","test","negative","red","harsh",500,"r","true",45640,46140
"stroop_trial","test","positive","red","trust",412,"r","true",47819,48231
"stroop_trial","test","negative","red","fear",525,"r","true",49868,50393
"stroop_trial","test","negative","blue","hate",643,"b","true",51835,52478
"stroop_trial","test","neutral","red","door",697,"r","true",53631,54328
"stroop_trial","test","negative","green","hate",404,"g","true",55791,56195
"stroop_trial","test","positive","green","love",583,"r","false",57644,58227
"stroop_trial","test","negative","red","grim",724,"r","true",59832,60556
"stroop_trial","test","positive","blue","peace",886,"b","true",61829,62715
"stroop_trial","test","positive","blue","friend",554,"b","true",63672,64226
"stroop_trial","test","positive","green","beauty",678,"g","true",65702,66380
"stroop_trial","test","neutral","green","ceiling",595,"b","false",67802,68397
"stroop_trial","test","neutral","green","pencil",578,"r","false",69809,70387
"stroop_trial","test","neutral","green","bottle",494,"g","true",71615,72109
"stroop_trial","test","positive","red","joy",514,"b","false",73644,74158
"stroop_trial","test","neutral","blue","ceiling",452,"b","true",75681,76133
"stroop_trial","test","neutral","green","door",NA,"","",77618,78038
"stroop_trial","test","negative","green","mean",650,"g","true",79720,80370
"stroop_trial","test","neutral","green","bottle",648,"g","true",81768,82416
"stroop_trial","test","positive","red","trust",614,"r","true",83811,84425
"stroop_trial","test","neutral","green","door",562,"r","false",85824,86386
"stroop_trial","test","positive","blue","happy",715,"g","false",87706,88421
"stroop_trial","test","neutral","green","chair",560,"g","true",89757,90317
"stroop_trial","test","neutral","blue","chair",499,"b","true",91868,92367
"stroop_trial","test","neutral","green","paper",586,"b","false",93613,94199
"stroop_trial","test","neutral","green","window",483,"g","true",95620,96103
"stroop_trial","test","neutral","blue","paper",630,"b","true",97844,98474
"stroop_trial","test","neutral","green","bottle",825,"g","true",99697,100522
"stroop_trial","test","neutral","red","pencil",651,"r","true",101831,102482
"stroop_trial","test","neutral","green","table",702,"g","true",103694,104396
"stroop_trial","test","neutral","red","ceiling",512,"g","false",105872,106384
"stroop_trial","test","neutral","red","ceiling",681,"r","true",107776,108457
"stroop_trial","test","negative","blue","grim",747,"g","false",109640,110387
"stroop_trial","test","neutral","blue","floor",630,"b","true",111614,112244
"stroop_trial","test","neutral","green","window",387,"r","false",113805,114192
"stroop_trial","test","negative","green","sad",NA,"g","true",115852,116239
"stroop_trial","test","neutral","blue","paper",632,"b","true",117612,118244
"stroop_trial","test","neutral","green","paper",601,"r","false",119706,120307
"es_questionnaire","questionnaire",NA,NA,NA,NA,"{""q1"": 2, ""q2"": 2, ""q3"": 3, ""q4"": 2, ""q5"": 3, ""q6"": 1, ""q7"": 1, ""q8"": 3, ""q9"": 3}","",NA,NA
