"trialType","block","condition","color","word","rt","response","correct","stim_onset_ms","resp_time_ms"
"stroop_trial","practice","practice","red","lamp",261,"g","false",2977,3238
"stroop_trial","practice","practice","red","table",580,"r","true",5003,5583
"stroop_trial","practice","practice","green","paper",533,"r","false",7055,7588
"stroop_trial","practice","practice","blue","floor",518,"g","false",8946,9464
"stroop_trial","practice","practice","blue","door",441,"r","false",11013,11454
"stroop_trial","practice","practice","blue","pencil",659,"b","true",13024,13683
"stroop_trial","practice","practice","red","pencil",469,"r","true",15080,15549
"stroop_trial","practice","practice","blue","lamp",546,"b","true",17077,17623
"stroop_trial","practice","practice","blue","paper",532,"b","true",19192,19724
"stroop_trial","practice","practice","red","ceiling",589,"r","true",21026,21615
"stroop_trial","practice","practice","red","bottle",NA,"","",23069,23600
"stroop_trial","practice","practice","red","door",399,"r","true",25149,25548
"stroop_trial","test","positive","blue","love",714,"g","false",27177,27891
"stroop_trial","test","neutral","red","table",295,"r","true",29012,29307
"stroop_trial","test","negative","green","anger",746,"g","true",31059,31805
"stroop_trial","test","neutral","blue","lamp",728,"b","true",33098,33826
"stroop_trial","test","neutral","green","lamp",558,"g","true",34930,35488
"stroop_trial","test","negative","red","grim",779,"r","true",37049,37828
"stroop_trial","test","neutral","blue","window",481,"b","true",38939,39420
"stroop_trial","test","negative","green","fear",275,"g","true",40928,41203
"stroop_trial","test","neutral","red","chair",NA,"","",42930,43382
"stroop_trial","test","negative","blue","mean",646,"b","true",45179,45825
"stroop_trial","test","neutral","blue","door",NA,"","",47203,47612
"stroop_trial","test","negative","blue","hate",434,"r","false",49018,49452
"stroop_trial","test","positive","red","trust",580,"r","true",51184,51764
"stroop_trial","test","positive","green","love",767,"g","true",53164,53931
"stroop_trial","test","neutral","blue","window",230,"b","true",55046,55276
"stroop_trial","test","negative","green","suffer",734,"g","true",57149,57883
"stroop_trial","test","neutral","blue","table",479,"b","true",58975,59454
"stroop_trial","test","neutral","blue","paper",624,"b","true",61142,61766
"stroop_trial","test","positive","blue","laugh",332,"r","false",63174,63506
"stroop_trial","test","neutral","blue","paper",NA,"","",65200,65822
"stroop_trial","test","positive","red","happy",563,"r","true",67122,67685
"stroop_trial","test","neutral","green","table",539,"g","true",69180,69719
"stroop_trial","test","positive","green","joy",NA,"g","true",71078,71676
"stroop_trial","test","positive","red","joy",407,"r","true",73031,73438
"stroop_trial","test","neutral","red","floor",636,"r","true",75038,75674
"stroop_trial","test","negative","green","mean",719,"g","true",77096,77815
"stroop_trial","test","neutral","blue","paper",447,"b","true",79022,79469
"stroop_trial","test","negative","green","bully",478,"g","true",80992,81470
"stroop_trial","test","neutral","blue","table",640,"b","true",83128,83768
"stroop_trial","test","negative","blue","bully",597,"b","true",85098,85695
"stroop_trial","test","negative","green","hate",657,"g","true",86948,87605
"stroop_trial","test","neutral","red","pencil",510,"r","true",88987,89497
"stroop_trial","test","positive","red","beauty",582,"g","false",90928,91510
"stroop_trial","test","positive","red","smile",756,"b","false",92957,93713
"stroop_trial","test","positive","red","friend",619,"g","false",95051,95670
"stroop_trial","test","neutral","red","floor",415,"g","false",97141,97556
"stroop_trial","test","positive","red","trust",513,"b","false",99004,99517
"stroop_trial","test","negative","blue","anger",657,"b","true",100949,101606
"stroop_trial","test","positive","green","smile",436,"g","true",102964,103400
"stroop_trial","test","neutral","red","window",574,"r","true",105116,105690
"stroop_trial","test","negative","blue","suffer",872,"b","true",107180,108052
"stroop_trial","test","neutral","red","bottle",NA,"r","true",109065,109488
"stroop_trial","test","neutral","blue","bottle",531,"b","true",111045,111576
"stroop_trial","test","neutral","red","bottle",604,"r","true",113071,113675
"stroop_trial","test","neutral","red","table",NA,"","",114944,115528
"stroop_trial","test","neutral","green","table",563,"g","true",117156,117719
"stroop_trial","test","neutral","blue","door",444,"b","true",119015,119459
"stroop_trial","test","neutral","green","pencil",546,"g","true",121001,121547
"es_questionnaire","questionnaire",NA,NA,NA,NA,"{""q1"": 3, ""q2"": 1, ""q3"": 2, ""q4"": 4, ""q5"": 1, ""q6"": 3, ""q7"": 0, ""q8"": 2, ""q9"": 2}","",NA,NA
