"trialType","block","condition","color","word","rt","response","correct","stim_onset_ms","resp_time_ms"
"stroop_trial","practice","practice","green","table",399,"g","true",1275,1674
"stroop_trial","practice","practice","green","door",245,"g","true",3239,3484
"stroop_trial","practice","practice","green","chair",769,"g","true",5080,5849
"stroop_trial","practice","practice","green","lamp",398,"g","true",7191,7589
"stroop_trial","practice","practice","blue","door",424,"b","true",9165,9589
"stroop_trial","practice","practice","red","lamp",818,"r","true",11080,11898
"stroop_trial","practice","practice","red","pencil",NA,"","",13084,13520
"stroop_trial","practice","practice","green","lamp",741,"g","true",15312,16053
"stroop_trial","practice","practice","red","window",444,"r","true",17300,17744
"stroop_trial","practice","practice","green","lamp",726,"r","false",19135,19861
"stroop_trial","practice","practice","red","lamp",793,"r","true",21182,21975
"stroop_trial","practice","practice","red","paper",475,"r","true",23072,23547
"stroop_trial","test","neutral","green","door",497,"g","true",25292,25789
"stroop_trial","test","neutral","green","door",747,"g","true",27229,27976
"stroop_trial","test","neutral","green","ceiling",491,"g","true",29098,29589
"stroop_trial","test","neutral","green","bottle",534,"b","false",31091,31625
"stroop_trial","test","neutral","red","door",548,"r","true",33248,33796
"stroop_trial","test","neutral","blue","ceiling",523,"b","true",35219,35742
"stroop_trial","test","neutral","green","lamp",500,"g","true",37117,37617
"stroop_trial","test","negative","green","bully",657,"g","true",39070,39727
"stroop_trial","test","neutral","blue","chair",601,"g","false",41160,41761
"stroop_trial","test","positive","red","love",815,"r","true",43018,43833
"stroop_trial","test","positive","blue","laugh",NA,"b","true",45196,45772
"stroop_trial","test","negative","blue","hate",490,"b","true",47261,47751
"stroop_trial","test","negative","red","fear",724,"g","false",49117,49841
"stroop_trial","test","neutral","green","ceiling",540,"g","true",51034,51574
"stroop_trial","test","neutral","green","ceiling",490,"g","true",53042,53532
"stroop_trial","test","positive","green","friend",522,"g","true",55155,55677
"stroop_trial","test","neutral","red","paper",612,"r","true",57167,57779
"stroop_trial","test","neutral","green","window",447,"g","true",59112,59559
"stroop_trial","test","negative","blue","bully",390,"g","false",61068,61458
"stroop_trial","test","neutral","red","pencil",555,"r","true",63170,63725
"stroop_trial","test","positive","green","laugh",843,"b","false",65241,66084
"stroop_trial","test","positive","green","beauty",531,"g","true",67069,67600
"stroop_trial","test","negative","blue","anger",634,"b","true",69094,69728
"stroop_trial","test","positive","green","kind",582,"g","true",71178,71760
"stroop_trial","test","negative","red","bully",547,"g","false",73239,73786
"stroop_trial","test","positive","green","laugh",491,"g","true",75251,75742
"stroop_trial","test","negative","red","grim",579,"r","true",77303,77882
"stroop_trial","test","neutral","blue","pencil",519,"b","true",79197,79716
"stroop_trial","test","neutral","green","bottle",NA,"","",81160,81740
"stroop_trial","test","positive","green","joy",707,"r","false",83098,83805
"stroop_trial","test","neutral","red","chair",525,"g","false",85297,85822
"stroop_trial","test","neutral","red","ceiling",627,"r","true",87048,87675
"stroop_trial","test","negative","green","hate",NA,"b","false",89035,89665
"stroop_trial","test","neutral","green","lamp",530,"g","true",91017,91547
"stroop_trial","test","neutral","red","bottle",581,"g","false",93251,93832
"stroop_trial","test","negative","green","harsh",751,"r","false",95260,96011
"stroop_trial","test","negative","green","anger",650,"r","false",97054,97704
"stroop_trial","test","positive","blue","laugh",485,"r","false",99181,99666
"stroop_trial","test","neutral","green","table",355,"g","true",101300,101655
"stroop_trial","test","positive","blue","beauty",465,"r","false",103147,103612
"stroop_trial","test","positive","green","joy",722,"g","true",105067,105789
"stroop_trial","test","neutral","blue","floor",685,"b","true",107262,107947
"stroop_trial","test","neutral","blue","ceiling",404,"r","false",109234,109638
"stroop_trial","test","positive","green","love",540,"g","true",111262,111802
"stroop_trial","test","neutral","red","table",483,"r","true",113109,113592
"stroop_trial","test","neutral","blue","floor",428,"b","true",115290,115718
"stroop_trial","test","negative","blue","mean",668,"b","true",117176,117844
"stroop_trial","test","negative","green","sad",672,"b","false",119016,119688
"es_questionnaire","questionnaire",NA,NA,NA,NA,"{""q1"": 2, ""q2"": 2, ""q3"": 3, ""q4"": 2, ""q5"": 0, ""q6"": 2, ""q7"": 3, ""q8"": 4, ""q9"": 2}","",NA,NA
